Date,Amount,Category,Sub Category
Nov 2025,7833,Rent,
Nov 2025,50,Nol,Transport
Nov 2025,123,Groceries,Groceries
Nov 2025,103,Dine out,Entertainment
Nov 2025,76,Shopping,Shopping
Nov 2025,140,Decor,Shopping
Nov 2025,1313,Dyson,Luxury
Nov 2025,122,Groceries,Groceries
Nov 2025,56,Taxi,Transport
Nov 2025,4500,YSL,Luxury
Nov 2025,1900,Valentino,Luxury
Nov 2025,40,Food Delivery,Entertainment
Nov 2025,22,Groceries,Groceries
Nov 2025,579,Suitcase,Shopping
Nov 2025,12,Groceries,Groceries
Nov 2025,33,Groceries,Groceries
Nov 2025,419,Internet,Utilities
Nov 2025,31,Shopping,Shopping
Nov 2025,32,Food Delivery,Entertainment
Nov 2025,36,Groceries,Groceries
Nov 2025,75,Water,Utilities
Nov 2025,50,Nol,Transport
Nov 2025,247,Suitcase,Shopping
Nov 2025,43,Dine out,Entertainment
Nov 2025,43,Shopping,Shopping
Nov 2025,347,Clothes,Shopping
Nov 2025,44,Groceries,Groceries
Nov 2025,162,Skincare,Shopping
Nov 2025,147,Museum,Entertainment
Nov 2025,78,Gift,Entertainment
Nov 2025,33,Food Delivery,Entertainment
Nov 2025,90,Boston Metro,Transport
Nov 2025,120,Shopping,Shopping
Nov 2025,460,Shoe,Shopping
Nov 2025,699,Coach,Shopping
Nov 2025,110,Museum,Entertainment
Nov 2025,10,Groceries,Groceries
Nov 2025,14,Groceries,Groceries
Nov 2025,70,Groceries,Groceries
Nov 2025,43,Groceries,Groceries
Nov 2025,52,Groceries,Groceries
Nov 2025,11,Shopping,Shopping
Nov 2025,6,Groceries,Groceries
Nov 2025,59,Groceries,Groceries
Nov 2025,18,Groceries,Groceries
Nov 2025,128,Decor,Shopping
Nov 2025,1593,LED Mask,Luxury
Nov 2025,431,Bracelet,Shopping
Nov 2025,32,Groceries,Groceries
Nov 2025,62,Groceries,Groceries
Nov 2025,140,Shopping,Shopping
Nov 2025,35,Food Delivery,Entertainment
Nov 2025,27,Groceries,Groceries
Nov 2025,56,Groceries,Groceries
Nov 2025,60,Groceries,Groceries
Nov 2025,626,Dewa,Utilities
Nov 2025,29,Dine out,Entertainment
Nov 2025,131,Medical,Medical
Nov 2025,576,Vacuum,Shopping
Nov 2025,174,Skincare,Shopping
Nov 2025,35,Groceries,Groceries
Nov 2025,50,Phone recharge,Utilities
Nov 2025,60,Carrefour,Groceries
Nov 2025,1100,Cook Salary,Utilities
Nov 2025,61,Noon,Groceries
Nov 2025,291,Clothes,Shopping
Nov 2025,135,Clothes,Shopping
Nov 2025,34,Cab,Transport
Nov 2025,-579,Refund,Shopping
Dec 2025,7833,Rent,
Dec 2025,1,West Zone,Groceries
Dec 2025,6,Carrefour,Groceries
Dec 2025,228,Accessories,Shopping
Dec 2025,419,Internet,Utilities
Dec 2025,36,Food Delivery,Entertainment
Dec 2025,43,Food Delivery,Entertainment
Dec 2025,29,Noon,Groceries
Dec 2025,100,Festival,Shopping
Dec 2025,68,Careem,Groceries
Dec 2025,326,Clothes,Shopping
Dec 2025,90,Skincare,Shopping
Dec 2025,26,Carrefour,Groceries
Dec 2025,26,Madhoor,Groceries
Dec 2025,-282,Refund,Shopping
Dec 2025,3,West Zone,Groceries
Dec 2025,53,Noon,Groceries
Dec 2025,-17,Refund,Groceries
Dec 2025,299,Clothes,Shopping
Dec 2025,140,Festival,Shopping
Dec 2025,155,Festival,Shopping
Dec 2025,32,Food Delivery,Entertainment
Dec 2025,6,Carrefour,Groceries
Dec 2025,38,Electronics,Shopping
Dec 2025,20,Art,Shopping
Dec 2025,42,Skincare,Shopping
Dec 2025,28,Noon,Groceries
Dec 2025,134,Decor,Shopping
Dec 2025,49,Misc,Shopping
Dec 2025,28,Decor,Shopping
Dec 2025,12,Carrefour,Groceries
Dec 2025,33,Amazon Now,Groceries
Dec 2025,31,Noon,Groceries
Dec 2025,45,Carrefour,Groceries
Dec 2025,126,Misc,Shopping
Dec 2025,-82,Refund,Groceries
Dec 2025,26,Noon,Groceries
Dec 2025,5,West Zone,Groceries
Dec 2025,7,Carrefour,Groceries
Dec 2025,17,West Zone,Groceries
Dec 2025,22,Carrefour,Groceries
Dec 2025,400,Cruise,Entertainment
Dec 2025,124,Dine out,Entertainment
Dec 2025,99,Skincare,Shopping
Dec 2025,377,Clothes,Shopping
Dec 2025,57,Carrefour,Groceries
Dec 2025,5,Madhoor,Groceries
Dec 2025,49,Noon,Groceries
Dec 2025,197,Clothes,Shopping
Dec 2025,76,Waxing,Grooming
Dec 2025,28,Noon,Groceries
Dec 2025,50,Careem,Groceries
Dec 2025,14,Amazon Now,Groceries
Dec 2025,19,Skincare,Shopping
Dec 2025,20,West zone,Groceries
Dec 2025,75,Mobile Recharge,Utilities
Dec 2025,15,Carrefour,Groceries
Dec 2025,81,Mani/pedi,Grooming
Dec 2025,44,Grandiose,Groceries
Dec 2025,37,Spinneys,Groceries
Dec 2025,48,Talabat,Groceries
Dec 2025,133,Carrefour,Groceries
Dec 2025,315,Haircut,Grooming
Dec 2025,1820,LV Bracelet,Luxury
Dec 2025,149,Clothes,Shopping
Dec 2025,50,Nol,Transport
Dec 2025,9,Carrefour,Groceries
Dec 2025,-47,Refund,Shopping
Dec 2025,84,Skincare,Shopping
Dec 2025,52,Noon,Groceries
Dec 2025,48,Dine out,Entertainment
Dec 2025,5,Carrefour,Groceries
Dec 2025,31,Noon,Groceries
Dec 2025,13,West Zone,Groceries
Dec 2025,37,Noon,Groceries
Dec 2025,25,Dine out,Entertainment
